Date,TeamA,TeamB,ScoreA,ScoreB,Sex,TournamentName,year,Venue,WinningTeam
2013/10/27,Slovenia,Serbia,31,26,W,EuropeanChampionshipQ,2014,Slovenia,Slovenia
2014/03/27,Serbia,Sweden,25,25,W,EuropeanChampionshipQ,2014,Serbia,Draw
2014/03/27,Switzerland,Slovenia,22,24,W,EuropeanChampionshipQ,2014,Switzerland,Slovenia
2014/03/30,Slovenia,Switzerland,30,29,W,EuropeanChampionshipQ,2014,Slovenia,Slovenia
2014/03/30,Sweden,Serbia,18,18,W,EuropeanChampionshipQ,2014,Sweden,Draw
2014/06/11,Slovenia,Sweden,27,34,W,EuropeanChampionshipQ,2014,Slovenia,Sweden
2014/06/12,Switzerland,Serbia,20,23,W,EuropeanChampionshipQ,2014,Switzerland,Serbia
2014/06/15,Sweden,Switzerland,36,17,W,EuropeanChampionshipQ,2014,Sweden,Sweden
2014/06/15,Serbia,Slovenia,32,25,W,EuropeanChampionshipQ,2014,Serbia,Serbia
2013/10/23,Romania,Norway,23,25,W,EuropeanChampionshipQ,2014,Romania,Norway
2013/10/27,Norway,Romania,30,18,W,EuropeanChampionshipQ,2014,Norway,Norway
2014/03/26,Norway,Belarus,33,29,W,EuropeanChampionshipQ,2014,Norway,Norway
2014/03/30,Belarus,Norway,24,32,W,EuropeanChampionshipQ,2014,Belarus,Norway
2014/06/11,Belarus,Romania,28,30,W,EuropeanChampionshipQ,2014,Belarus,Romania
2014/06/15,Romania,Belarus,32,20,W,EuropeanChampionshipQ,2014,Romania,Romania
2013/10/23,Germany,Russia,32,27,W,EuropeanChampionshipQ,2014,Germany,Germany
2013/10/27,Russia,Germany,29,28,W,EuropeanChampionshipQ,2014,Russia,Russia
2014/03/26,Russia,Macedonia,36,23,W,EuropeanChampionshipQ,2014,Russia,Russia
2014/03/29,Macedonia,Russia,24,31,W,EuropeanChampionshipQ,2014,Macedonia,Russia
2014/06/11,Macedonia,Germany,21,23,W,EuropeanChampionshipQ,2014,Macedonia,Germany
2014/06/14,Germany,Macedonia,31,16,W,EuropeanChampionshipQ,2014,Germany,Germany
2015/06/12,Bulgaria,Faroe Islands,31,22,W,EuropeanChampionshipQ,2016,Bulgaria,Bulgaria
2015/06/13,Faroe Islands,Azerbaijan,28,29,W,EuropeanChampionshipQ,2016,Bulgaria,Azerbaijan
2015/06/14,Azerbaijan,Bulgaria,28,32,W,EuropeanChampionshipQ,2016,Bulgaria,Bulgaria
2015/06/12,Kosovo,Finland,19,27,W,EuropeanChampionshipQ,2016,Finland,Finland
2015/06/13,Israel,Kosovo,24,21,W,EuropeanChampionshipQ,2016,Finland,Israel
2015/06/14,Finland,Israel,26,23,W,EuropeanChampionshipQ,2016,Finland,Finland
2015/10/07,Norway,Belarus,35,24,W,EuropeanChampionshipQ,2016,Norway,Norway
2015/10/08,Romania,Lithuania,29,20,W,EuropeanChampionshipQ,2016,Romania,Romania
2015/10/11,Lithuania,Norway,21,28,W,EuropeanChampionshipQ,2016,Lithuania,Norway
2015/10/11,Belarus,Romania,23,25,W,EuropeanChampionshipQ,2016,Belarus,Romania
2016/03/09,Lithuania,Belarus,21,29,W,EuropeanChampionshipQ,2016,Lithuania,Belarus
2016/03/09,Romania,Norway,25,20,W,EuropeanChampionshipQ,2016,Romania,Romania
2016/03/13,Belarus,Lithuania,38,35,W,EuropeanChampionshipQ,2016,Belarus,Belarus
2016/03/13,Norway,Romania,27,17,W,EuropeanChampionshipQ,2016,Norway,Norway
2016/06/01,Belarus,Norway,22,32,W,EuropeanChampionshipQ,2016,Belarus,Norway
2016/06/01,Lithuania,Romania,24,34,W,EuropeanChampionshipQ,2016,Lithuania,Romania
2016/06/04,Romania,Belarus,20,23,W,EuropeanChampionshipQ,2016,Romania,Belarus
2016/06/04,Norway,Lithuania,36,19,W,EuropeanChampionshipQ,2016,Norway,Norway
2015/10/07,Czech Republic,Italy,33,15,W,EuropeanChampionshipQ,2016,Czech Republic,Czech Republic
2015/10/08,Serbia,Ukraine,34,25,W,EuropeanChampionshipQ,2016,Serbia,Serbia
2015/10/11,Ukraine,Czech Republic,20,24,W,EuropeanChampionshipQ,2016,Ukraine,Czech Republic
2015/10/11,Italy,Serbia,19,32,W,EuropeanChampionshipQ,2016,Italy,Serbia
2016/03/09,Czech Republic,Serbia,25,30,W,EuropeanChampionshipQ,2016,Czech Republic,Serbia
2016/03/10,Italy,Ukraine,19,37,W,EuropeanChampionshipQ,2016,Italy,Ukraine
2016/03/13,Ukraine,Italy,36,23,W,EuropeanChampionshipQ,2016,Ukraine,Ukraine
2016/03/13,Serbia,Czech Republic,28,28,W,EuropeanChampionshipQ,2016,Serbia,Draw
2016/06/01,Ukraine,Serbia,26,31,W,EuropeanChampionshipQ,2016,Ukraine,Serbia
2016/06/01,Italy,Czech Republic,19,29,W,EuropeanChampionshipQ,2016,Italy,Czech Republic
2016/06/04,Serbia,Italy,36,18,W,EuropeanChampionshipQ,2016,Serbia,Serbia
2016/06/04,Czech Republic,Ukraine,31,30,W,EuropeanChampionshipQ,2016,Czech Republic,Czech Republic
2015/10/07,Netherlands,Bulgaria,45,24,W,EuropeanChampionshipQ,2016,Netherlands,Netherlands
2015/10/07,Spain,Austria,25,15,W,EuropeanChampionshipQ,2016,Spain,Spain
2015/10/11,Bulgaria,Spain,14,39,W,EuropeanChampionshipQ,2016,Bulgaria,Spain
2015/10/11,Austria,Netherlands,25,31,W,EuropeanChampionshipQ,2016,Austria,Netherlands
2016/03/09,Bulgaria,Austria,20,33,W,EuropeanChampionshipQ,2016,Bulgaria,Austria
2016/03/09,Netherlands,Spain,31,21,W,EuropeanChampionshipQ,2016,Netherlands,Netherlands
2016/03/12,Spain,Netherlands,32,29,W,EuropeanChampionshipQ,2016,Spain,Spain
2016/03/12,Austria,Bulgaria,39,27,W,EuropeanChampionshipQ,2016,Austria,Austria
2016/06/01,Bulgaria,Netherlands,16,45,W,EuropeanChampionshipQ,2016,Bulgaria,Netherlands
2016/06/01,Austria,Spain,26,33,W,EuropeanChampionshipQ,2016,Austria,Spain
2016/06/04,Netherlands,Austria,35,22,W,EuropeanChampionshipQ,2016,Netherlands,Netherlands
2016/06/04,Spain,Bulgaria,42,11,W,EuropeanChampionshipQ,2016,Spain,Spain
2015/10/07,Croatia,Slovenia,27,19,W,EuropeanChampionshipQ,2016,Croatia,Croatia
2015/10/07,Montenegro,Macedonia,21,14,W,EuropeanChampionshipQ,2016,Montenegro,Montenegro
2015/10/10,Macedonia,Croatia,22,36,W,EuropeanChampionshipQ,2016,Macedonia,Croatia
2015/10/11,Slovenia,Montenegro,20,22,W,EuropeanChampionshipQ,2016,Slovenia,Montenegro
2016/03/10,Slovenia,Macedonia,35,17,W,EuropeanChampionshipQ,2016,Slovenia,Slovenia
2016/03/10,Croatia,Montenegro,23,22,W,EuropeanChampionshipQ,2016,Croatia,Croatia
2016/03/12,Macedonia,Slovenia,21,22,W,EuropeanChampionshipQ,2016,Macedonia,Slovenia
2016/03/12,Montenegro,Croatia,31,29,W,EuropeanChampionshipQ,2016,Montenegro,Montenegro
2016/06/01,Slovenia,Croatia,24,23,W,EuropeanChampionshipQ,2016,Slovenia,Slovenia
2016/06/02,Macedonia,Montenegro,21,27,W,EuropeanChampionshipQ,2016,Macedonia,Montenegro
2016/06/05,Croatia,Macedonia,35,19,W,EuropeanChampionshipQ,2016,Croatia,Croatia
2016/06/05,Montenegro,Slovenia,24,22,W,EuropeanChampionshipQ,2016,Montenegro,Montenegro
2015/10/07,Poland,Finland,29,12,W,EuropeanChampionshipQ,2016,Poland,Poland
2015/10/08,Hungary,Slovakia,32,19,W,EuropeanChampionshipQ,2016,Hungary,Hungary
2015/10/10,Slovakia,Poland,21,23,W,EuropeanChampionshipQ,2016,Slovakia,Poland
2015/10/11,Finland,Hungary,25,38,W,EuropeanChampionshipQ,2016,Finland,Hungary
2016/03/09,Finland,Slovakia,15,29,W,EuropeanChampionshipQ,2016,Finland,Slovakia
2016/03/09,Poland,Hungary,24,27,W,EuropeanChampionshipQ,2016,Poland,Hungary
2016/03/12,Slovakia,Finland,25,8,W,EuropeanChampionshipQ,2016,Slovakia,Slovakia
2016/03/13,Hungary,Poland,25,26,W,EuropeanChampionshipQ,2016,Hungary,Poland
2016/06/01,Slovakia,Hungary,23,32,W,EuropeanChampionshipQ,2016,Slovakia,Hungary
2016/06/01,Finland,Poland,11,33,W,EuropeanChampionshipQ,2016,Finland,Poland
2016/06/04,Poland,Slovakia,28,25,W,EuropeanChampionshipQ,2016,Poland,Poland
2016/06/05,Hungary,Finland,44,13,W,EuropeanChampionshipQ,2016,Hungary,Hungary
2015/10/08,Russia,Portugal,39,19,W,EuropeanChampionshipQ,2016,Russia,Russia
2015/10/08,Denmark,Turkey,28,19,W,EuropeanChampionshipQ,2016,Denmark,Denmark
2015/10/11,Portugal,Denmark,21,26,W,EuropeanChampionshipQ,2016,Portugal,Denmark
2015/10/11,Turkey,Russia,30,44,W,EuropeanChampionshipQ,2016,Turkey,Russia
2016/03/09,Russia,Denmark,31,27,W,EuropeanChampionshipQ,2016,Russia,Russia
2016/03/10,Portugal,Turkey,24,23,W,EuropeanChampionshipQ,2016,Portugal,Portugal
2016/03/12,Denmark,Russia,22,24,W,EuropeanChampionshipQ,2016,Denmark,Russia
2016/03/13,Turkey,Portugal,37,31,W,EuropeanChampionshipQ,2016,Turkey,Turkey
2016/06/01,Turkey,Denmark,23,26,W,EuropeanChampionshipQ,2016,Turkey,Denmark
2016/06/02,Portugal,Russia,22,25,W,EuropeanChampionshipQ,2016,Portugal,Russia
2016/06/05,Russia,Turkey,37,25,W,EuropeanChampionshipQ,2016,Russia,Russia
2016/06/05,Denmark,Portugal,33,17,W,EuropeanChampionshipQ,2016,Denmark,Denmark
2015/10/07,Germany,Switzerland,29,18,W,EuropeanChampionshipQ,2016,Germany,Germany
2015/10/08,France,Iceland,27,17,W,EuropeanChampionshipQ,2016,France,France
2015/10/11,Switzerland,France,19,28,W,EuropeanChampionshipQ,2016,Switzerland,France
2015/10/11,Iceland,Germany,17,22,W,EuropeanChampionshipQ,2016,Iceland,Germany
2016/03/09,Germany,France,21,24,W,EuropeanChampionshipQ,2016,Germany,France
2016/03/10,Switzerland,Iceland,22,21,W,EuropeanChampionshipQ,2016,Switzerland,Switzerland
2016/03/12,France,Germany,25,19,W,EuropeanChampionshipQ,2016,France,France
2016/03/13,Iceland,Switzerland,20,19,W,EuropeanChampionshipQ,2016,Iceland,Iceland
2016/06/01,Switzerland,Germany,23,25,W,EuropeanChampionshipQ,2016,Switzerland,Germany
2016/06/01,Iceland,France,16,30,W,EuropeanChampionshipQ,2016,Iceland,France
2016/06/04,France,Switzerland,28,21,W,EuropeanChampionshipQ,2016,France,France
2016/06/05,Germany,Iceland,33,21,W,EuropeanChampionshipQ,2016,Germany,Germany
2017/06/09,Greece,Finland,29,20,W,EuropeanChampionshipQ,2018,Greece,Greece
2017/06/10,Faroe Islands,Greece,25,24,W,EuropeanChampionshipQ,2018,Greece,Faroe Islands
2017/06/11,Finland,Faroe Islands,17,20,W,EuropeanChampionshipQ,2018,Greece,Faroe Islands
2017/06/09,Georgia,Israel,27,31,W,EuropeanChampionshipQ,2018,Kosovo,Israel
2017/06/10,Kosovo,Georgia,30,19,W,EuropeanChampionshipQ,2018,Kosovo,Kosovo
2017/06/11,Israel,Kosovo,25,32,W,EuropeanChampionshipQ,2018,Kosovo,Kosovo
2017/09/27,Croatia,Switzerland,32,28,W,EuropeanChampionshipQ,2018,Croatia,Croatia
2017/09/27,Norway,Ukraine,35,22,W,EuropeanChampionshipQ,2018,Norway,Norway
2017/10/01,Switzerland,Norway,12,29,W,EuropeanChampionshipQ,2018,Switzerland,Norway
2017/10/01,Ukraine,Croatia,26,22,W,EuropeanChampionshipQ,2018,Ukraine,Ukraine
2018/03/21,Croatia,Norway,25,32,W,EuropeanChampionshipQ,2018,Croatia,Norway
2018/03/21,Switzerland,Ukraine,21,15,W,EuropeanChampionshipQ,2018,Switzerland,Switzerland
2018/03/25,Norway,Croatia,33,27,W,EuropeanChampionshipQ,2018,Norway,Norway
2018/03/25,Ukraine,Switzerland,21,22,W,EuropeanChampionshipQ,2018,Ukraine,Switzerland
2018/05/30,Ukraine,Norway,21,26,W,EuropeanChampionshipQ,2018,Ukraine,Norway
2018/05/30,Switzerland,Croatia,16,33,W,EuropeanChampionshipQ,2018,Switzerland,Croatia
2018/06/02,Croatia,Ukraine,28,25,W,EuropeanChampionshipQ,2018,Croatia,Croatia
2018/06/02,Norway,Switzerland,41,18,W,EuropeanChampionshipQ,2018,Norway,Norway
2017/09/27,Poland,Italy,40,13,W,EuropeanChampionshipQ,2018,Poland,Poland
2017/09/28,Montenegro,Slovakia,24,23,W,EuropeanChampionshipQ,2018,Montenegro,Montenegro
2017/10/01,Slovakia,Poland,20,29,W,EuropeanChampionshipQ,2018,Slovakia,Poland
2017/10/01,Italy,Montenegro,16,23,W,EuropeanChampionshipQ,2018,Italy,Montenegro
2018/03/21,Poland,Montenegro,20,26,W,EuropeanChampionshipQ,2018,Poland,Montenegro
2018/03/21,Italy,Slovakia,20,21,W,EuropeanChampionshipQ,2018,Italy,Slovakia
2018/03/24,Slovakia,Italy,20,17,W,EuropeanChampionshipQ,2018,Slovakia,Slovakia
2018/03/24,Montenegro,Poland,33,23,W,EuropeanChampionshipQ,2018,Montenegro,Montenegro
2018/05/31,Slovakia,Montenegro,24,27,W,EuropeanChampionshipQ,2018,Slovakia,Montenegro
2018/05/31,Italy,Poland,25,33,W,EuropeanChampionshipQ,2018,Italy,Poland
2018/06/02,Montenegro,Italy,28,22,W,EuropeanChampionshipQ,2018,Montenegro,Montenegro
2018/06/03,Poland,Slovakia,26,21,W,EuropeanChampionshipQ,2018,Poland,Poland
2017/09/28,Serbia,Faroe Islands,36,20,W,EuropeanChampionshipQ,2018,Serbia,Serbia
2017/09/28,Sweden,Macedonia,38,26,W,EuropeanChampionshipQ,2018,Sweden,Sweden
2017/10/01,Faroe Islands,Sweden,15,33,W,EuropeanChampionshipQ,2018,Faroe Islands,Sweden
2017/10/01,Macedonia,Serbia,27,33,W,EuropeanChampionshipQ,2018,Macedonia,Serbia
2018/03/21,Serbia,Sweden,30,23,W,EuropeanChampionshipQ,2018,Serbia,Serbia
2018/03/21,Faroe Islands,Macedonia,15,22,W,EuropeanChampionshipQ,2018,Faroe Islands,Macedonia
2018/03/24,Sweden,Serbia,31,30,W,EuropeanChampionshipQ,2018,Sweden,Sweden
2018/03/25,Macedonia,Faroe Islands,28,24,W,EuropeanChampionshipQ,2018,Macedonia,Macedonia
2018/05/30,Macedonia,Sweden,20,32,W,EuropeanChampionshipQ,2018,Macedonia,Sweden
2018/05/30,Faroe Islands,Serbia,17,33,W,EuropeanChampionshipQ,2018,Faroe Islands,Serbia
2018/06/02,Sweden,Faroe Islands,32,13,W,EuropeanChampionshipQ,2018,Sweden,Sweden
2018/06/03,Serbia,Macedonia,35,30,W,EuropeanChampionshipQ,2018,Serbia,Serbia
2017/09/27,Romania,Austria,36,25,W,EuropeanChampionshipQ,2018,Romania,Romania
2017/09/28,Russia,Portugal,32,25,W,EuropeanChampionshipQ,2018,Russia,Russia
2017/09/30,Austria,Russia,27,25,W,EuropeanChampionshipQ,2018,Austria,Austria
2017/10/01,Portugal,Romania,16,32,W,EuropeanChampionshipQ,2018,Portugal,Romania
2018/03/21,Russia,Romania,30,25,W,EuropeanChampionshipQ,2018,Russia,Russia
2018/03/22,Portugal,Austria,30,32,W,EuropeanChampionshipQ,2018,Portugal,Austria
2018/03/24,Austria,Portugal,29,24,W,EuropeanChampionshipQ,2018,Austria,Austria
2018/03/25,Romania,Russia,26,25,W,EuropeanChampionshipQ,2018,Romania,Romania
2018/05/31,Portugal,Russia,24,30,W,EuropeanChampionshipQ,2018,Portugal,Russia
2018/05/31,Austria,Romania,25,28,W,EuropeanChampionshipQ,2018,Austria,Romania
2018/06/03,Russia,Austria,26,25,W,EuropeanChampionshipQ,2018,Russia,Russia
2018/06/03,Romania,Portugal,32,28,W,EuropeanChampionshipQ,2018,Romania,Romania
2017/09/27,Czech Republic,Iceland,30,23,W,EuropeanChampionshipQ,2018,Czech Republic,Czech Republic
2017/09/27,Denmark,Slovenia,28,22,W,EuropeanChampionshipQ,2018,Denmark,Denmark
2017/10/01,Iceland,Denmark,14,29,W,EuropeanChampionshipQ,2018,Iceland,Denmark
2017/10/01,Slovenia,Czech Republic,28,28,W,EuropeanChampionshipQ,2018,Slovenia,Draw
2018/03/21,Czech Republic,Denmark,21,26,W,EuropeanChampionshipQ,2018,Czech Republic,Denmark
2018/03/21,Iceland,Slovenia,30,30,W,EuropeanChampionshipQ,2018,Iceland,Draw
2018/03/24,Denmark,Czech Republic,21,20,W,EuropeanChampionshipQ,2018,Denmark,Denmark
2018/03/25,Slovenia,Iceland,28,18,W,EuropeanChampionshipQ,2018,Slovenia,Slovenia
2018/05/30,Slovenia,Denmark,23,29,W,EuropeanChampionshipQ,2018,Slovenia,Denmark
2018/05/30,Iceland,Czech Republic,24,26,W,EuropeanChampionshipQ,2018,Iceland,Czech Republic
2018/06/02,Denmark,Iceland,24,17,W,EuropeanChampionshipQ,2018,Denmark,Denmark
2018/06/03,Czech Republic,Slovenia,30,30,W,EuropeanChampionshipQ,2018,Czech Republic,Draw
2017/09/27,Spain,Turkey,35,16,W,EuropeanChampionshipQ,2018,Spain,Spain
2017/09/27,Germany,Lithuania,26,26,W,EuropeanChampionshipQ,2018,Germany,Draw
2017/10/01,Turkey,Germany,16,30,W,EuropeanChampionshipQ,2018,Turkey,Germany
2017/10/01,Lithuania,Spain,17,24,W,EuropeanChampionshipQ,2018,Lithuania,Spain
2018/03/21,Germany,Spain,33,24,W,EuropeanChampionshipQ,2018,Germany,Germany
2018/03/22,Lithuania,Turkey,22,22,W,EuropeanChampionshipQ,2018,Lithuania,Draw
2018/03/24,Spain,Germany,27,23,W,EuropeanChampionshipQ,2018,Spain,Spain
2018/03/25,Turkey,Lithuania,30,24,W,EuropeanChampionshipQ,2018,Turkey,Turkey
2018/05/30,Turkey,Spain,17,22,W,EuropeanChampionshipQ,2018,Turkey,Spain
2018/05/31,Lithuania,Germany,11,25,W,EuropeanChampionshipQ,2018,Lithuania,Germany
2018/06/02,Germany,Turkey,40,17,W,EuropeanChampionshipQ,2018,Germany,Germany
2018/06/02,Spain,Lithuania,29,17,W,EuropeanChampionshipQ,2018,Spain,Spain
2017/09/27,Hungary,Kosovo,37,12,W,EuropeanChampionshipQ,2018,Hungary,Hungary
2017/09/27,Netherlands,Belarus,33,21,W,EuropeanChampionshipQ,2018,Netherlands,Netherlands
2017/10/01,Belarus,Hungary,18,25,W,EuropeanChampionshipQ,2018,Belarus,Hungary
2017/10/01,Kosovo,Netherlands,12,40,W,EuropeanChampionshipQ,2018,Kosovo,Netherlands
2018/03/21,Kosovo,Belarus,22,31,W,EuropeanChampionshipQ,2018,Kosovo,Belarus
2018/03/22,Hungary,Netherlands,18,19,W,EuropeanChampionshipQ,2018,Hungary,Netherlands
2018/03/25,Belarus,Kosovo,41,18,W,EuropeanChampionshipQ,2018,Belarus,Belarus
2018/03/25,Netherlands,Hungary,22,23,W,EuropeanChampionshipQ,2018,Netherlands,Hungary
2018/05/30,Kosovo,Hungary,15,37,W,EuropeanChampionshipQ,2018,Kosovo,Hungary
2018/05/31,Belarus,Netherlands,28,29,W,EuropeanChampionshipQ,2018,Belarus,Netherlands
2018/06/02,Netherlands,Kosovo,42,16,W,EuropeanChampionshipQ,2018,Netherlands,Netherlands
2018/06/02,Hungary,Belarus,30,22,W,EuropeanChampionshipQ,2018,Hungary,Hungary
2021/03/19,Slovakia,Ukraine,31,28,W,EuropeanChampionshipQ,2021,Luxembourg,Slovakia
2021/03/19,Israel,Luxembourg,22,18,W,EuropeanChampionshipQ,2021,Luxembourg,Israel
2021/03/20,Slovakia,Israel,37,19,W,EuropeanChampionshipQ,2021,Luxembourg,Slovakia
2021/03/20,Ukraine,Luxembourg,28,21,W,EuropeanChampionshipQ,2021,Luxembourg,Ukraine
2021/03/21,Ukraine,Israel,31,24,W,EuropeanChampionshipQ,2021,Luxembourg,Ukraine
2021/03/21,Luxembourg,Slovakia,17,37,W,EuropeanChampionshipQ,2021,Luxembourg,Slovakia
2021/03/19,North Macedonia,Iceland,24,17,W,EuropeanChampionshipQ,2021,North Macedonia,North Macedonia
2021/03/19,Lithuania,Greece,27,26,W,EuropeanChampionshipQ,2021,North Macedonia,Lithuania
2021/03/20,North Macedonia,Lithuania,31,21,W,EuropeanChampionshipQ,2021,North Macedonia,North Macedonia
2021/03/20,Iceland,Greece,31,19,W,EuropeanChampionshipQ,2021,North Macedonia,Iceland
2021/03/21,Greece,North Macedonia,19,20,W,EuropeanChampionshipQ,2021,North Macedonia,North Macedonia
2021/03/21,Iceland,Lithuania,33,23,W,EuropeanChampionshipQ,2021,North Macedonia,Iceland
2021/03/19,Kosovo,Austria,20,26,W,EuropeanChampionshipQ,2021,Austria,Austria
2021/03/20,Italy,Kosovo,24,22,W,EuropeanChampionshipQ,2021,Austria,Italy
2021/03/21,Austria,Italy,37,22,W,EuropeanChampionshipQ,2021,Austria,Austria
2021/03/19,Faroe Islands,Belarus,13,21,W,EuropeanChampionshipQ,2021,Belarus,Belarus
2021/03/20,Switzerland,Faroe Islands,26,18,W,EuropeanChampionshipQ,2021,Belarus,Switzerland
2021/03/21,Belarus,Switzerland,25,25,W,EuropeanChampionshipQ,2021,Belarus,Draw
2021/04/16,Turkey,Russia,23,35,W,EuropeanChampionshipQ,2021,Turkey,Russia
2021/04/20,Russia,Turkey,45,24,W,EuropeanChampionshipQ,2021,Russia,Russia
2021/04/17,Czech Republic,Switzerland,27,27,W,EuropeanChampionshipQ,2021,Czech Republic,Draw
2021/04/20,Switzerland,Czech Republic,22,28,W,EuropeanChampionshipQ,2021,Switzerland ,Czech Republic
2021/04/17,Slovenia,Iceland,24,14,W,EuropeanChampionshipQ,2021,Slovenia,Slovenia
2021/04/21,Iceland,Slovenia,21,21,W,EuropeanChampionshipQ,2021,Iceland,Draw
2021/04/17,Slovakia,Serbia,19,26,W,EuropeanChampionshipQ,2021,Slovakia,Serbia
2021/04/21,Serbia,Slovakia,32,25,W,EuropeanChampionshipQ,2021,Serbia,Serbia
2021/04/17,Ukraine,Sweden,14,28,W,EuropeanChampionshipQ,2021,Ukraine,Sweden
2021/04/21,Sweden,Ukraine,22,26,W,EuropeanChampionshipQ,2021,Sweden,Ukraine
2021/04/16,Austria,Poland,29,29,W,EuropeanChampionshipQ,2021,Austria,Draw
2021/04/20,Poland,Austria,26,29,W,EuropeanChampionshipQ,2021,Poland,Austria
2021/04/16,Hungary,Italy,46,19,W,EuropeanChampionshipQ,2021,Hungary,Hungary
2021/04/18,Italy,Hungary,12,41,W,EuropeanChampionshipQ,2021,Italy,Hungary
2021/04/17,Romania,North Macedonia,33,22,W,EuropeanChampionshipQ,2021,Romania,Romania
2021/04/21,North Macedonia,Romania,20,35,W,EuropeanChampionshipQ,2021,North Macedonia,Romania
2021/04/17,Portugal,Germany,27,32,W,EuropeanChampionshipQ,2021,Portugal,Germany
2021/04/20,Germany,Portugal,34,23,W,EuropeanChampionshipQ,2021,Germany,Germany
2021/04/16,Montenegro,Belarus,29,23,W,EuropeanChampionshipQ,2021,Montenegro,Montenegro
2021/04/20,Belarus,Montenegro,24,26,W,EuropeanChampionshipQ,2021,Belarus,Montenegro
2021/06/03,Portugal,Luxembourg,38,14,W,EuropeanChampionshipQ,2022,Kosovo,Portugal
2021/06/03,Kosovo,Cyprus,30,21,W,EuropeanChampionshipQ,2022,Kosovo,Kosovo
2021/06/04,Cyprus,Portugal,17,32,W,EuropeanChampionshipQ,2022,Kosovo,Portugal
2021/06/04,Luxembourg,Kosovo,27,33,W,EuropeanChampionshipQ,2022,Kosovo,Kosovo
2021/06/05,Luxembourg,Cyprus,19,21,W,EuropeanChampionshipQ,2022,Kosovo,Cyprus
2021/06/05,Portugal,Kosovo,30,17,W,EuropeanChampionshipQ,2022,Kosovo,Portugal
2021/06/04,Greece,Bosnia and Herzegovina,29,18,W,EuropeanChampionshipQ,2022,Greece,Greece
2021/06/05,Bosnia and Herzegovina,Italy,25,22,W,EuropeanChampionshipQ,2022,Greece,Bosnia and Herzegovina
2021/06/05,Latvia,Greece,17,34,W,EuropeanChampionshipQ,2022,Greece,Greece
2021/06/06,Bosnia and Herzegovina,Latvia,31,19,W,EuropeanChampionshipQ,2022,Greece,Bosnia and Herzegovina
2021/06/06,Greece,Italy,33,22,W,EuropeanChampionshipQ,2022,Greece,Greece
2021/06/04,Italy,Latvia,10,0,W,EuropeanChampionshipQ,2022,Greece,Italy
2021/06/04,Finland,Faroe Islands,19,21,W,EuropeanChampionshipQ,2022,Faroe Islands,Faroe Islands
2021/06/05,Israel,Finland,24,28,W,EuropeanChampionshipQ,2022,Faroe Islands,Finland
2021/06/06,Faroe Islands,Israel,29,25,W,EuropeanChampionshipQ,2022,Faroe Islands,Faroe Islands
2021/10/06,Poland,Lithuania,36,22,W,EuropeanChampionshipQ,2022,Poland,Poland
2021/10/06,Russia,Switzerland,26,22,W,EuropeanChampionshipQ,2022,Russia,Russia
2021/10/09,Lithuania,Russia,21,35,W,EuropeanChampionshipQ,2022,Lithuania,Russia
2021/10/10,Switzerland,Poland,22,31,W,EuropeanChampionshipQ,2022,Switzerland,Poland
2022/03/03,Lithuania,Switzerland,30,36,W,EuropeanChampionshipQ,2022,Lithuania,Switzerland
2022/03/06,Switzerland,Lithuania,34,18,W,EuropeanChampionshipQ,2022,Switzerland,Switzerland
2022/04/20,Lithuania,Poland,27,40,W,EuropeanChampionshipQ,2022,Lithuania,Poland
2022/04/24,Poland,Switzerland,31,26,W,EuropeanChampionshipQ,2022,Poland,Poland
2021/10/06,Romania,Faroe Islands,26,19,W,EuropeanChampionshipQ,2022,Romania,Romania
2021/10/07,Denmark,Austria,27,22,W,EuropeanChampionshipQ,2022,Denmark,Denmark
2021/10/10,Faroe Islands,Denmark,19,39,W,EuropeanChampionshipQ,2022,Faroe Islands,Denmark
2021/10/10,Austria,Romania,33,33,W,EuropeanChampionshipQ,2022,Austria,Draw
2022/03/02,Romania,Denmark,28,35,W,EuropeanChampionshipQ,2022,Romania,Denmark
2022/03/02,Faroe Islands,Austria,24,29,W,EuropeanChampionshipQ,2022,Faroe Islands,Austria
2022/03/05,Denmark,Romania,32,27,W,EuropeanChampionshipQ,2022,Denmark,Denmark
2022/03/05,Austria,Faroe Islands,26,22,W,EuropeanChampionshipQ,2022,Austria,Austria
2022/04/20,Faroe Islands,Romania,21,31,W,EuropeanChampionshipQ,2022,Faroe Islands,Romania
2022/04/20,Austria,Denmark,22,38,W,EuropeanChampionshipQ,2022,Austria,Denmark
2022/04/23,Denmark,Faroe Islands,26,15,W,EuropeanChampionshipQ,2022,Denmark,Denmark
2022/04/24,Romania,Austria,38,29,W,EuropeanChampionshipQ,2022,Romania,Romania
2021/10/06,Netherlands,Belarus,38,27,W,EuropeanChampionshipQ,2022,Netherlands,Netherlands
2021/10/07,Germany,Greece,36,10,W,EuropeanChampionshipQ,2022,Germany,Germany
2021/10/10,Greece,Netherlands,14,35,W,EuropeanChampionshipQ,2022,Greece,Netherlands
2021/10/10,Germany,Belarus,24,24,W,EuropeanChampionshipQ,2022,Germany,Draw
2022/03/03,Germany,Netherlands,25,31,W,EuropeanChampionshipQ,2022,Germany,Netherlands
2022/03/05,Netherlands,Germany,30,29,W,EuropeanChampionshipQ,2022,Netherlands,Netherlands
2022/04/21,Greece,Germany,11,40,W,EuropeanChampionshipQ,2022,Greece,Germany
